=== WAVE 2b BEFORE Sat Aug  1 08:42:37 EDT 2026 ===
  total 12,372,847 | real-phone 2,124,069
=== drive cc-warc-bio-repo Sat Aug  1 08:42:37 EDT 2026 ===
Lambda concurrency limit 1000 -> driving at 120 concurrent (raise the quota to go faster)
  159,600 ptrs | 128,738 records | 4355 ptr/s | 0 inv-err
  162,800 ptrs | 131,307 records | 4401 ptr/s | 0 inv-err
  170,200 ptrs | 137,234 records | 4459 ptr/s | 0 inv-err
  174,800 ptrs | 140,921 records | 4467 ptr/s | 0 inv-err
  180,200 ptrs | 145,331 records | 4443 ptr/s | 0 inv-err
  199,400 ptrs | 160,802 records | 4518 ptr/s | 0 inv-err
  207,200 ptrs | 166,989 records | 4550 ptr/s | 0 inv-err
  210,000 ptrs | 169,246 records | 4579 ptr/s | 0 inv-err
  230,400 ptrs | 185,590 records | 4610 ptr/s | 0 inv-err
  234,400 ptrs | 188,744 records | 4601 ptr/s | 0 inv-err
  252,800 ptrs | 203,481 records | 4659 ptr/s | 0 inv-err
  261,400 ptrs | 210,392 records | 4660 ptr/s | 0 inv-err
  264,200 ptrs | 212,660 records | 4667 ptr/s | 0 inv-err
  272,200 ptrs | 219,185 records | 4692 ptr/s | 0 inv-err
  294,200 ptrs | 236,773 records | 4733 ptr/s | 0 inv-err
  300,200 ptrs | 241,537 records | 4727 ptr/s | 0 inv-err
  312,000 ptrs | 250,932 records | 4743 ptr/s | 0 inv-err
  315,200 ptrs | 253,586 records | 4758 ptr/s | 0 inv-err
  329,600 ptrs | 265,171 records | 4766 ptr/s | 0 inv-err
  339,400 ptrs | 272,214 records | 4778 ptr/s | 0 inv-err
  351,200 ptrs | 280,149 records | 4807 ptr/s | 0 inv-err
  359,400 ptrs | 285,541 records | 4821 ptr/s | 0 inv-err
  373,400 ptrs | 294,713 records | 4803 ptr/s | 0 inv-err
  391,800 ptrs | 306,565 records | 4799 ptr/s | 0 inv-err
  396,800 ptrs | 309,764 records | 4811 ptr/s | 0 inv-err
  397,200 ptrs | 310,026 records | 4811 ptr/s | 0 inv-err
  408,000 ptrs | 317,115 records | 4795 ptr/s | 0 inv-err
  412,200 ptrs | 319,932 records | 4811 ptr/s | 0 inv-err
  433,800 ptrs | 334,154 records | 4809 ptr/s | 0 inv-err
  449,000 ptrs | 343,977 records | 4811 ptr/s | 0 inv-err
  452,800 ptrs | 346,481 records | 4821 ptr/s | 0 inv-err
  459,000 ptrs | 350,697 records | 4834 ptr/s | 0 inv-err
  460,800 ptrs | 351,878 records | 4833 ptr/s | 0 inv-err
  474,000 ptrs | 360,673 records | 4826 ptr/s | 0 inv-err
  492,600 ptrs | 372,834 records | 4836 ptr/s | 0 inv-err
  501,200 ptrs | 378,392 records | 4836 ptr/s | 0 inv-err
  503,400 ptrs | 379,796 records | 4836 ptr/s | 0 inv-err
  515,400 ptrs | 387,540 records | 4846 ptr/s | 0 inv-err
  525,400 ptrs | 393,930 records | 4827 ptr/s | 0 inv-err
  546,400 ptrs | 407,081 records | 4829 ptr/s | 0 inv-err
  554,600 ptrs | 412,387 records | 4798 ptr/s | 0 inv-err
  568,600 ptrs | 421,676 records | 4788 ptr/s | 0 inv-err
  573,800 ptrs | 425,440 records | 4771 ptr/s | 0 inv-err
  588,400 ptrs | 436,138 records | 4761 ptr/s | 0 inv-err
  592,400 ptrs | 439,068 records | 4740 ptr/s | 0 inv-err
  593,600 ptrs | 439,935 records | 4734 ptr/s | 0 inv-err
  599,800 ptrs | 444,469 records | 4750 ptr/s | 0 inv-err
  609,000 ptrs | 451,244 records | 4719 ptr/s | 0 inv-err
  623,000 ptrs | 461,358 records | 4718 ptr/s | 0 inv-err
  641,000 ptrs | 474,694 records | 4694 ptr/s | 0 inv-err
  644,600 ptrs | 477,394 records | 4697 ptr/s | 0 inv-err
  669,600 ptrs | 495,803 records | 4669 ptr/s | 0 inv-err
  673,400 ptrs | 498,608 records | 4665 ptr/s | 0 inv-err
  678,400 ptrs | 502,205 records | 4670 ptr/s | 0 inv-err
  687,400 ptrs | 508,767 records | 4656 ptr/s | 0 inv-err
  700,800 ptrs | 518,609 records | 4656 ptr/s | 0 inv-err
  705,600 ptrs | 522,112 records | 4648 ptr/s | 0 inv-err
  719,000 ptrs | 531,897 records | 4637 ptr/s | 0 inv-err
  732,200 ptrs | 541,610 records | 4640 ptr/s | 0 inv-err
  740,800 ptrs | 548,025 records | 4635 ptr/s | 0 inv-err
  754,400 ptrs | 558,100 records | 4633 ptr/s | 0 inv-err
  758,852 ptrs | 561,371 records | 4630 ptr/s | 0 inv-err
  769,852 ptrs | 569,293 records | 4583 ptr/s | 0 inv-err
DONE: 771,052 pointers -> 570,094 records | 771,048 fetched, 0 empty | 0 invoke-err | 180s | 4291 ptr/s
Next: OPENSEARCH_ENDPOINT=… node load-extracted.js cc-extracted/bf-cc-warc-mmiss-all/
=== load cc-warc-mmiss-all Sat Aug  1 08:51:08 EDT 2026 ===
loading s3://aws-athena-query-results-475987770186-us-east-1/cc-extracted/bf-cc-warc-mmiss-all/ -> OpenSearch (conc 6)
3,856 file(s) to load
  1,000/3,856 files, 85,152 docs
  2,000/3,856 files, 148,892 docs
  3,000/3,856 files, 234,056 docs
DONE: 3,856 file(s), 312,628 docs -> OpenSearch, 32 error(s), 196s
=== drive cc-warc-tld-expand Sat Aug  1 08:54:25 EDT 2026 ===
Lambda concurrency limit 1000 -> driving at 120 concurrent (raise the quota to go faster)
  7,000 ptrs | 3,382 records | 2029 ptr/s | 0 inv-err
  10,800 ptrs | 5,428 records | 2723 ptr/s | 0 inv-err
  12,400 ptrs | 6,568 records | 3011 ptr/s | 0 inv-err
  23,800 ptrs | 12,603 records | 4239 ptr/s | 0 inv-err
  32,200 ptrs | 17,379 records | 4509 ptr/s | 0 inv-err
  33,600 ptrs | 18,163 records | 4468 ptr/s | 0 inv-err
  51,800 ptrs | 24,627 records | 4706 ptr/s | 0 inv-err
  72,400 ptrs | 38,065 records | 4658 ptr/s | 0 inv-err
  83,200 ptrs | 45,064 records | 4543 ptr/s | 0 inv-err
  84,000 ptrs | 45,492 records | 4542 ptr/s | 0 inv-err
  103,200 ptrs | 50,848 records | 5046 ptr/s | 0 inv-err
  108,000 ptrs | 53,100 records | 4957 ptr/s | 0 inv-err
  115,600 ptrs | 58,144 records | 4949 ptr/s | 0 inv-err
  127,400 ptrs | 65,851 records | 5084 ptr/s | 0 inv-err
  143,413 ptrs | 73,627 records | 5078 ptr/s | 0 inv-err
  148,813 ptrs | 75,557 records | 5030 ptr/s | 0 inv-err
DONE: 150,413 pointers -> 76,057 records | 150,213 fetched, 0 empty | 1 invoke-err | 78s | 1940 ptr/s
Next: OPENSEARCH_ENDPOINT=… node load-extracted.js cc-extracted/bf-cc-warc-tld-expand/
=== load cc-warc-tld-expand Sat Aug  1 08:55:43 EDT 2026 ===
loading s3://aws-athena-query-results-475987770186-us-east-1/cc-extracted/bf-cc-warc-tld-expand/ -> OpenSearch (conc 6)
649 file(s) to load
DONE: 649 file(s), 61,462 docs -> OpenSearch, 58 error(s), 31s
=== reload people-company (records already in S3) Sat Aug  1 08:56:14 EDT 2026 ===
loading s3://aws-athena-query-results-475987770186-us-east-1/cc-extracted/bf-cc-warc-people-company/ -> OpenSearch (conc 6)
35,857 file(s) to load
  1,000/35,857 files, 83,816 docs
  2,000/35,857 files, 167,758 docs
  3,000/35,857 files, 250,466 docs
  4,000/35,857 files, 333,165 docs
  5,000/35,857 files, 417,062 docs
  6,000/35,857 files, 500,637 docs
  7,000/35,857 files, 583,420 docs
  8,000/35,857 files, 668,217 docs
  9,000/35,857 files, 751,297 docs
  10,000/35,857 files, 837,414 docs
  11,000/35,857 files, 922,048 docs
  12,000/35,857 files, 1,007,310 docs
  13,000/35,857 files, 1,090,624 docs
  14,000/35,857 files, 1,176,973 docs
  15,000/35,857 files, 1,263,659 docs
  16,000/35,857 files, 1,350,418 docs
  17,000/35,857 files, 1,437,019 docs
  18,000/35,857 files, 1,522,733 docs
  19,000/35,857 files, 1,608,631 docs
  20,000/35,857 files, 1,694,273 docs
  21,000/35,857 files, 1,778,965 docs
  22,000/35,857 files, 1,865,122 docs
  23,000/35,857 files, 1,950,731 docs
  24,000/35,857 files, 2,037,025 docs
  25,000/35,857 files, 2,121,010 docs
  26,000/35,857 files, 2,206,898 docs
  27,000/35,857 files, 2,292,744 docs
  28,000/35,857 files, 2,378,977 docs
  29,000/35,857 files, 2,465,117 docs
  30,000/35,857 files, 2,548,409 docs
  31,000/35,857 files, 2,630,535 docs
  32,000/35,857 files, 2,714,367 docs
  33,000/35,857 files, 2,797,813 docs
  34,000/35,857 files, 2,883,414 docs
  35,000/35,857 files, 2,966,953 docs
DONE: 35,857 file(s), 3,038,081 docs -> OpenSearch, 171 error(s), 1686s
=== WAVE 2b DONE Sat Aug  1 09:24:25 EDT 2026 ===
  total 12,451,943 | real-phone 2,183,878
