Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  888,800 ptrs | 528,004 records | 10763 ptr/s | 0 inv-err
  895,200 ptrs | 532,802 records | 10797 ptr/s | 0 inv-err
  901,000 ptrs | 537,173 records | 10836 ptr/s | 0 inv-err
  936,600 ptrs | 560,628 records | 10940 ptr/s | 0 inv-err
  954,600 ptrs | 568,041 records | 10957 ptr/s | 0 inv-err
  962,400 ptrs | 573,149 records | 11002 ptr/s | 0 inv-err
  974,200 ptrs | 580,755 records | 11032 ptr/s | 0 inv-err
  992,800 ptrs | 592,904 records | 11044 ptr/s | 0 inv-err
  995,000 ptrs | 594,335 records | 11044 ptr/s | 0 inv-err
  999,200 ptrs | 597,294 records | 11058 ptr/s | 0 inv-err
  1,001,000 ptrs | 598,507 records | 11043 ptr/s | 0 inv-err
  1,019,000 ptrs | 610,250 records | 11069 ptr/s | 0 inv-err
  1,024,800 ptrs | 613,502 records | 11075 ptr/s | 0 inv-err
  1,028,200 ptrs | 615,273 records | 11084 ptr/s | 0 inv-err
  1,032,400 ptrs | 617,795 records | 11084 ptr/s | 0 inv-err
  1,033,200 ptrs | 618,185 records | 11088 ptr/s | 0 inv-err
  1,043,200 ptrs | 623,306 records | 11128 ptr/s | 0 inv-err
  1,054,400 ptrs | 630,352 records | 11115 ptr/s | 0 inv-err
  1,064,600 ptrs | 637,336 records | 11096 ptr/s | 0 inv-err
  1,081,000 ptrs | 646,923 records | 11123 ptr/s | 0 inv-err
  1,085,400 ptrs | 649,287 records | 11122 ptr/s | 0 inv-err
  1,114,000 ptrs | 668,832 records | 11143 ptr/s | 0 inv-err
  1,118,200 ptrs | 671,300 records | 11125 ptr/s | 0 inv-err
  1,120,800 ptrs | 673,334 records | 11138 ptr/s | 0 inv-err
  1,135,000 ptrs | 681,609 records | 11160 ptr/s | 0 inv-err
  1,141,000 ptrs | 685,057 records | 11166 ptr/s | 0 inv-err
  1,157,000 ptrs | 693,989 records | 11204 ptr/s | 0 inv-err
  1,159,200 ptrs | 695,853 records | 11208 ptr/s | 0 inv-err
  1,167,400 ptrs | 701,098 records | 11234 ptr/s | 0 inv-err
  1,183,800 ptrs | 711,055 records | 11286 ptr/s | 0 inv-err
  1,189,600 ptrs | 714,655 records | 11247 ptr/s | 0 inv-err
  1,191,000 ptrs | 715,439 records | 11255 ptr/s | 0 inv-err
  1,215,000 ptrs | 728,821 records | 11272 ptr/s | 0 inv-err
  1,233,600 ptrs | 737,759 records | 11329 ptr/s | 0 inv-err
  1,247,800 ptrs | 747,172 records | 11344 ptr/s | 0 inv-err
  1,252,000 ptrs | 749,938 records | 11319 ptr/s | 0 inv-err
  1,277,800 ptrs | 767,733 records | 11287 ptr/s | 0 inv-err
  1,292,200 ptrs | 776,502 records | 11346 ptr/s | 0 inv-err
  1,292,400 ptrs | 776,538 records | 11344 ptr/s | 0 inv-err
  1,294,400 ptrs | 777,705 records | 11347 ptr/s | 0 inv-err
  1,295,800 ptrs | 778,507 records | 11348 ptr/s | 0 inv-err
  1,297,200 ptrs | 779,216 records | 11350 ptr/s | 0 inv-err
  1,316,600 ptrs | 790,617 records | 11350 ptr/s | 0 inv-err
  1,336,200 ptrs | 805,581 records | 11395 ptr/s | 0 inv-err
  1,345,400 ptrs | 811,574 records | 11401 ptr/s | 0 inv-err
  1,352,400 ptrs | 816,174 records | 11409 ptr/s | 0 inv-err
  1,366,200 ptrs | 826,525 records | 11433 ptr/s | 0 inv-err
  1,367,400 ptrs | 827,277 records | 11435 ptr/s | 0 inv-err
  1,381,000 ptrs | 836,899 records | 11454 ptr/s | 0 inv-err
  1,389,400 ptrs | 842,867 records | 11460 ptr/s | 0 inv-err
  1,406,400 ptrs | 852,745 records | 11465 ptr/s | 0 inv-err
  1,407,400 ptrs | 853,448 records | 11466 ptr/s | 0 inv-err
  1,413,400 ptrs | 857,322 records | 11459 ptr/s | 0 inv-err
  1,447,000 ptrs | 878,535 records | 11494 ptr/s | 0 inv-err
  1,447,600 ptrs | 878,868 records | 11492 ptr/s | 0 inv-err
  1,456,400 ptrs | 884,781 records | 11486 ptr/s | 0 inv-err
  1,471,000 ptrs | 894,408 records | 11465 ptr/s | 0 inv-err
