=== BEFORE Sat Aug  1 01:49:30 EDT 2026 ===
total 12,072,644 | real-phone 1,578,305
=== [1/2] lambda-drive cc-warc-mon-all.jsonl Sat Aug  1 01:49:30 EDT 2026 ===
Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  859,400 ptrs | 708,613 records | 9763 ptr/s | 0 inv-err
  880,400 ptrs | 725,948 records | 9813 ptr/s | 0 inv-err
  890,200 ptrs | 733,780 records | 9816 ptr/s | 0 inv-err
  891,600 ptrs | 734,914 records | 9815 ptr/s | 0 inv-err
  894,200 ptrs | 737,030 records | 9817 ptr/s | 0 inv-err
  929,800 ptrs | 766,264 records | 9804 ptr/s | 0 inv-err
  930,000 ptrs | 766,438 records | 9805 ptr/s | 0 inv-err
  942,200 ptrs | 776,425 records | 9816 ptr/s | 0 inv-err
  942,800 ptrs | 776,928 records | 9818 ptr/s | 0 inv-err
  954,000 ptrs | 786,226 records | 9819 ptr/s | 0 inv-err
  965,200 ptrs | 795,590 records | 9820 ptr/s | 0 inv-err
  975,800 ptrs | 804,389 records | 9852 ptr/s | 0 inv-err
  994,400 ptrs | 819,638 records | 9886 ptr/s | 0 inv-err
  1,020,800 ptrs | 841,750 records | 9866 ptr/s | 0 inv-err
  1,031,800 ptrs | 850,796 records | 9910 ptr/s | 0 inv-err
  1,032,200 ptrs | 851,113 records | 9911 ptr/s | 0 inv-err
  1,034,600 ptrs | 853,035 records | 9915 ptr/s | 0 inv-err
  1,036,200 ptrs | 854,373 records | 9923 ptr/s | 0 inv-err
  1,061,200 ptrs | 875,089 records | 9928 ptr/s | 0 inv-err
  1,062,600 ptrs | 876,258 records | 9932 ptr/s | 0 inv-err
  1,063,800 ptrs | 877,280 records | 9935 ptr/s | 0 inv-err
  1,070,800 ptrs | 883,155 records | 9927 ptr/s | 0 inv-err
  1,091,400 ptrs | 900,124 records | 9982 ptr/s | 0 inv-err
  1,101,400 ptrs | 908,424 records | 9982 ptr/s | 0 inv-err
  1,113,000 ptrs | 917,891 records | 9982 ptr/s | 0 inv-err
  1,127,000 ptrs | 929,238 records | 9985 ptr/s | 0 inv-err
  1,127,400 ptrs | 929,532 records | 9987 ptr/s | 0 inv-err
  1,159,200 ptrs | 955,885 records | 10024 ptr/s | 0 inv-err
  1,170,000 ptrs | 964,711 records | 10015 ptr/s | 0 inv-err
  1,173,800 ptrs | 967,853 records | 10028 ptr/s | 0 inv-err
  1,179,600 ptrs | 972,624 records | 10026 ptr/s | 0 inv-err
  1,186,000 ptrs | 977,967 records | 10041 ptr/s | 0 inv-err
  1,192,800 ptrs | 983,588 records | 10061 ptr/s | 0 inv-err
  1,215,200 ptrs | 1,001,927 records | 10040 ptr/s | 0 inv-err
  1,219,400 ptrs | 1,005,256 records | 10045 ptr/s | 0 inv-err
  1,226,800 ptrs | 1,011,293 records | 10045 ptr/s | 0 inv-err
  1,230,800 ptrs | 1,014,546 records | 10046 ptr/s | 0 inv-err
  1,240,200 ptrs | 1,022,131 records | 10039 ptr/s | 0 inv-err
  1,245,400 ptrs | 1,026,437 records | 10048 ptr/s | 0 inv-err
  1,265,200 ptrs | 1,042,929 records | 10035 ptr/s | 0 inv-err
  1,267,400 ptrs | 1,044,715 records | 10031 ptr/s | 0 inv-err
  1,286,400 ptrs | 1,060,199 records | 10016 ptr/s | 0 inv-err
  1,295,200 ptrs | 1,067,504 records | 10038 ptr/s | 0 inv-err
  1,302,400 ptrs | 1,073,530 records | 10040 ptr/s | 0 inv-err
  1,317,400 ptrs | 1,086,028 records | 10014 ptr/s | 0 inv-err
  1,322,800 ptrs | 1,090,458 records | 10001 ptr/s | 0 inv-err
