Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  891,000 ptrs | 456,825 records | 7341 ptr/s | 0 inv-err
  909,200 ptrs | 466,433 records | 7356 ptr/s | 0 inv-err
  926,400 ptrs | 475,053 records | 7425 ptr/s | 0 inv-err
  926,800 ptrs | 475,239 records | 7422 ptr/s | 0 inv-err
  928,600 ptrs | 476,108 records | 7430 ptr/s | 0 inv-err
  952,200 ptrs | 487,907 records | 7348 ptr/s | 0 inv-err
  965,800 ptrs | 494,702 records | 7363 ptr/s | 0 inv-err
  970,000 ptrs | 496,871 records | 7362 ptr/s | 0 inv-err
  974,800 ptrs | 499,464 records | 7351 ptr/s | 0 inv-err
  977,600 ptrs | 500,803 records | 7340 ptr/s | 0 inv-err
  1,002,000 ptrs | 512,686 records | 7129 ptr/s | 0 inv-err
  1,005,000 ptrs | 514,286 records | 7135 ptr/s | 0 inv-err
  1,025,200 ptrs | 524,585 records | 7210 ptr/s | 0 inv-err
  1,036,400 ptrs | 530,483 records | 7235 ptr/s | 0 inv-err
  1,041,600 ptrs | 533,020 records | 7246 ptr/s | 0 inv-err
  1,048,800 ptrs | 536,676 records | 7239 ptr/s | 0 inv-err
  1,051,000 ptrs | 537,781 records | 7244 ptr/s | 0 inv-err
  1,080,200 ptrs | 552,497 records | 7305 ptr/s | 0 inv-err
  1,081,000 ptrs | 552,902 records | 7306 ptr/s | 0 inv-err
  1,082,200 ptrs | 553,403 records | 7304 ptr/s | 0 inv-err
  1,098,600 ptrs | 561,018 records | 7345 ptr/s | 0 inv-err
  1,116,000 ptrs | 569,978 records | 7363 ptr/s | 0 inv-err
  1,127,400 ptrs | 575,407 records | 7385 ptr/s | 0 inv-err
  1,129,200 ptrs | 576,325 records | 7387 ptr/s | 0 inv-err
  1,131,600 ptrs | 577,755 records | 7393 ptr/s | 0 inv-err
  1,132,800 ptrs | 578,442 records | 7396 ptr/s | 0 inv-err
  1,164,200 ptrs | 594,456 records | 7455 ptr/s | 0 inv-err
  1,167,800 ptrs | 596,383 records | 7464 ptr/s | 0 inv-err
  1,174,800 ptrs | 599,858 records | 7484 ptr/s | 0 inv-err
  1,195,600 ptrs | 610,387 records | 7517 ptr/s | 0 inv-err
  1,205,800 ptrs | 615,605 records | 7538 ptr/s | 0 inv-err
  1,219,200 ptrs | 622,542 records | 7556 ptr/s | 0 inv-err
  1,221,200 ptrs | 623,581 records | 7568 ptr/s | 0 inv-err
  1,232,000 ptrs | 629,050 records | 7583 ptr/s | 0 inv-err
  1,240,200 ptrs | 633,122 records | 7601 ptr/s | 0 inv-err
  1,257,000 ptrs | 641,336 records | 7634 ptr/s | 0 inv-err
  1,267,800 ptrs | 646,847 records | 7639 ptr/s | 0 inv-err
  1,273,200 ptrs | 649,621 records | 7653 ptr/s | 0 inv-err
  1,276,800 ptrs | 651,573 records | 7660 ptr/s | 0 inv-err
  1,283,800 ptrs | 655,100 records | 7671 ptr/s | 0 inv-err
  1,294,800 ptrs | 660,378 records | 7695 ptr/s | 0 inv-err
  1,306,600 ptrs | 666,644 records | 7710 ptr/s | 0 inv-err
  1,315,600 ptrs | 671,060 records | 7718 ptr/s | 0 inv-err
  1,321,200 ptrs | 673,833 records | 7733 ptr/s | 0 inv-err
  1,322,800 ptrs | 674,671 records | 7742 ptr/s | 0 inv-err
  1,336,600 ptrs | 681,823 records | 7767 ptr/s | 0 inv-err
  1,344,200 ptrs | 685,850 records | 7780 ptr/s | 0 inv-err
  1,351,000 ptrs | 689,432 records | 7793 ptr/s | 0 inv-err
  1,376,600 ptrs | 702,096 records | 7836 ptr/s | 0 inv-err
  1,380,600 ptrs | 704,143 records | 7837 ptr/s | 0 inv-err
  1,402,800 ptrs | 715,474 records | 7865 ptr/s | 0 inv-err
  1,418,800 ptrs | 723,760 records | 7888 ptr/s | 0 inv-err
  1,422,800 ptrs | 725,829 records | 7897 ptr/s | 0 inv-err
  1,427,800 ptrs | 728,256 records | 7903 ptr/s | 0 inv-err
  1,434,200 ptrs | 731,688 records | 7912 ptr/s | 0 inv-err
  1,447,200 ptrs | 738,028 records | 7926 ptr/s | 0 inv-err
  1,461,800 ptrs | 745,205 records | 7946 ptr/s | 0 inv-err
  1,462,200 ptrs | 745,434 records | 7948 ptr/s | 0 inv-err
  1,495,400 ptrs | 761,889 records | 7981 ptr/s | 0 inv-err
  1,496,600 ptrs | 762,513 records | 7984 ptr/s | 0 inv-err
  1,507,200 ptrs | 767,650 records | 7980 ptr/s | 0 inv-err
  1,507,800 ptrs | 767,977 records | 7983 ptr/s | 0 inv-err
  1,523,400 ptrs | 776,155 records | 8015 ptr/s | 0 inv-err
  1,536,800 ptrs | 783,154 records | 8022 ptr/s | 0 inv-err
  1,544,200 ptrs | 787,000 records | 8023 ptr/s | 0 inv-err
  1,556,800 ptrs | 793,569 records | 8038 ptr/s | 0 inv-err
  1,558,200 ptrs | 794,207 records | 8041 ptr/s | 0 inv-err
  1,561,000 ptrs | 795,623 records | 8048 ptr/s | 0 inv-err
  1,572,000 ptrs | 801,450 records | 8059 ptr/s | 0 inv-err
  1,579,600 ptrs | 805,580 records | 8069 ptr/s | 0 inv-err
  1,586,600 ptrs | 809,103 records | 8076 ptr/s | 0 inv-err
  1,590,800 ptrs | 811,245 records | 8080 ptr/s | 0 inv-err
  1,610,400 ptrs | 821,295 records | 8106 ptr/s | 0 inv-err
  1,624,000 ptrs | 828,366 records | 8125 ptr/s | 0 inv-err
  1,629,000 ptrs | 830,951 records | 8126 ptr/s | 0 inv-err
  1,645,600 ptrs | 839,056 records | 8148 ptr/s | 0 inv-err
  1,647,000 ptrs | 839,706 records | 8147 ptr/s | 0 inv-err
  1,653,800 ptrs | 843,293 records | 8156 ptr/s | 0 inv-err
  1,668,000 ptrs | 850,192 records | 8178 ptr/s | 0 inv-err
  1,676,600 ptrs | 854,427 records | 8183 ptr/s | 0 inv-err
  1,697,600 ptrs | 864,817 records | 8198 ptr/s | 0 inv-err
  1,700,200 ptrs | 866,002 records | 8206 ptr/s | 0 inv-err
  1,728,400 ptrs | 879,992 records | 8236 ptr/s | 0 inv-err
  1,728,800 ptrs | 880,170 records | 8238 ptr/s | 0 inv-err
  1,731,000 ptrs | 881,162 records | 8240 ptr/s | 0 inv-err
  1,740,000 ptrs | 885,891 records | 8243 ptr/s | 0 inv-err
  1,767,000 ptrs | 899,324 records | 8266 ptr/s | 0 inv-err
  1,769,200 ptrs | 900,416 records | 8272 ptr/s | 0 inv-err
  1,774,600 ptrs | 903,156 records | 8274 ptr/s | 0 inv-err
  1,776,600 ptrs | 904,288 records | 8278 ptr/s | 0 inv-err
  1,803,200 ptrs | 918,085 records | 8296 ptr/s | 0 inv-err
  1,804,400 ptrs | 918,701 records | 8301 ptr/s | 0 inv-err
  1,817,800 ptrs | 925,417 records | 8313 ptr/s | 0 inv-err
  1,824,400 ptrs | 928,817 records | 8324 ptr/s | 0 inv-err
  1,856,400 ptrs | 945,312 records | 8352 ptr/s | 0 inv-err
  1,857,000 ptrs | 945,610 records | 8350 ptr/s | 0 inv-err
  1,859,200 ptrs | 946,660 records | 8357 ptr/s | 0 inv-err
  1,867,200 ptrs | 950,773 records | 8362 ptr/s | 0 inv-err
  1,877,200 ptrs | 955,827 records | 8381 ptr/s | 0 inv-err
