Name,Website,Country,Spider,Source,Count,Type,All the places Most Recent Link
Travismathew,travismathew.com,us,travismathew_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,4,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/travismathew_us.geojson
Speed Queen,speedqueenlaundry.com,,speed_queen,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,"1,441",Franchise,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/speed_queen.geojson
Jet,jet.industries,gb,jet_gb,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,321,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/jet_gb.geojson
Ohio Cat,ohiocat.com,us,ohio_cat_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,17,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/ohio_cat_us.geojson
Coen Markets,coenmarkets.com,us,coen_markets_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,55,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/coen_markets_us.geojson
Hucks,hucks.com,us,hucks_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,136,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/hucks_us.geojson
Signet Jewelers,signetjewelers.com,,signet_jewelers,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,239,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/signet_jewelers.geojson
Alh Hotels,alhgroup.com.au,au,alh_hotels_au,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,352,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/alh_hotels_au.geojson
Charles Clinkard,charlesclinkard.co.uk,gb,charles_clinkard_gb,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,38,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/charles_clinkard_gb.geojson
Eathappy,eathappy.at,,eathappy,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,"3,886",,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/eathappy.geojson
Groupe Casino,groupe-casino.fr,,groupe_casino,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/groupe_casino.geojson
Healius,healius.com.au,au,healius_au,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,"1,904",,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/healius_au.geojson
Kbp Foods,kbpbrands.com,us,kbp_foods_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,"1,267",,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/kbp_foods_us.geojson
Medical City Healthcare,medicalcityhealthcare.com,,medical_city_healthcare,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,121,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/medical_city_healthcare.geojson
